"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"324",14,"Calvin Austin III",NYG,"WR113","8","-","-","4 out of 5 stars","+70"
"325",14,"Bam Knight",ARI,"RB97","14","-","-","2 out of 5 stars","-"
"326",14,"Jake Tonges",SF,"TE41","8","-","-","3 out of 5 stars","-60"
"327",14,"Jarquez Hunter",LAR,"RB98","11","-","-","5 out of 5 stars","+60"
"328",14,"John Metchie III",CAR,"WR114","5","-","-","2 out of 5 stars","+214"
"329",14,"Luke McCaffrey",WAS,"WR115","7","-","-","2 out of 5 stars","-12"
"330",14,"Mac Jones",SF,"QB37","8","-","-","1 out of 5 stars","-1"
"331",14,"Skyler Bell",BUF,"WR116","7","-","-","4 out of 5 stars","+33"
"332",14,"Joshua Palmer",BUF,"WR117","7","-","-","4 out of 5 stars","+5"
"333",14,"Olamide Zaccheaus",ATL,"WR118","11","-","-","3 out of 5 stars","+247"
"334",14,"Oscar Delp",NO,"TE42","8","4 out of 5","4 out of 5","2 out of 5 stars","+202"
"335",14,"Cedric Tillman",CLE,"WR119","11","-","-","3 out of 5 stars","+314"
"336",14,"Jalen Royals",KC,"WR120","5","-","-","2 out of 5 stars","+113"
"337",14,"John Bates",WAS,"TE43","7","-","-","1 out of 5 stars","+290"
"338",14,"Kareem Hunt",FA,"RB99","-","-","-","-","+2"
"339",14,"Tahj Brooks",CIN,"RB100","6","-","-","2 out of 5 stars","+98"
"340",14,"Jalen Tolbert",MIA,"WR121","6","-","-","3 out of 5 stars","-25"
"341",14,"Jahan Dotson",ATL,"WR122","11","-","-","3 out of 5 stars","+171"
"342",14,"Kendrick Bourne",ARI,"WR123","14","-","-","2 out of 5 stars","+265"
"343",14,"Will Shipley",PHI,"RB101","10","-","-","4 out of 5 stars","+124"
"344",14,"DeMario Douglas",NE,"WR124","11","-","-","2 out of 5 stars","+245"
"345",14,"Dont'e Thornton Jr.",LV,"WR125","13","-","-","2 out of 5 stars","+147"
"346",14,"Tommy Myers",FA,"TE44","-","-","-","-","-"
"347",14,"Cole Kmet",CHI,"TE45","10","-","-","2 out of 5 stars","-51"
"348",14,"Carson Beck",ARI,"QB38","14","-","-","2 out of 5 stars","-44"
"349",15,"Brenen Thompson",LAC,"WR126","7","-","-","2 out of 5 stars","+188"
"350",15,"Erick All Jr.",CIN,"TE46","6","-","-","3 out of 5 stars","-"
"351",15,"Anthony Richardson Sr.",IND,"QB39","13","-","-","4 out of 5 stars","+144"
"352",15,"Zane Gonzalez",FA,"K19","-","-","-","-","+205"
"353",15,"Raheim Sanders",CLE,"RB102","11","-","-","3 out of 5 stars","+168"
"354",15,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","-"
"355",15,"Tyler Higbee",LAR,"TE47","11","-","-","4 out of 5 stars","-19"
"356",15,"Jaylin Lane",WAS,"WR127","7","-","-","2 out of 5 stars","+172"
"357",15,"Michael Mayer",LV,"TE48","13","-","-","3 out of 5 stars","+86"
"358",15,"Miami Dolphins",MIA,"DST22","6","-","-","3 out of 5 stars","-65"
