"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"140",10,"Tyrone Tracy Jr.",NYG,"RB47","8","2 out of 5","4 out of 5","4 out of 5 stars","+7"
"141",10,"Alvin Kamara",NO,"RB48","8","2 out of 5","4 out of 5","3 out of 5 stars","+9"
"142",10,"Matthew Golden",GB,"WR55","11","3 out of 5","4 out of 5","5 out of 5 stars","-17"
"143",10,"Chris Rodriguez Jr.",JAC,"RB49","7","2 out of 5","4 out of 5","4 out of 5 stars","-2"
"144",10,"Brenton Strange",JAC,"TE17","7","4 out of 5","3 out of 5","3 out of 5 stars","+16"
"145",10,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+63"
"146",10,"Jauan Jennings",MIN,"WR56","6","2 out of 5","4 out of 5","5 out of 5 stars","+59"
"147",10,"Keaton Mitchell",LAC,"RB50","7","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"148",10,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-50"
"149",10,"Jerry Jeudy",CLE,"WR57","11","2 out of 5","4 out of 5","3 out of 5 stars","+28"
"150",10,"Rashid Shaheed",SEA,"WR58","11","3 out of 5","4 out of 5","3 out of 5 stars","-8"
"151",10,"Hunter Henry",NE,"TE18","11","2 out of 5","4 out of 5","4 out of 5 stars","+5"
"152",10,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+29"
"153",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-37"
"154",10,"Isiah Pacheco",DET,"RB51","6","3 out of 5","4 out of 5","5 out of 5 stars","0"
"155",10,"Bryce Young",CAR,"QB25","5","2 out of 5","4 out of 5","2 out of 5 stars","+59"
"156",10,"De'Zhaun Stribling",SF,"WR60","8","3 out of 5","4 out of 5","2 out of 5 stars","-30"
"157",10,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-35"
"158",10,"Chig Okonkwo",WAS,"TE19","7","4 out of 5","4 out of 5","1 out of 5 stars","+21"
"159",10,"Braelon Allen",NYJ,"RB52","13","2 out of 5","4 out of 5","3 out of 5 stars","+42"
"160",10,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-45"
"161",10,"Daniel Jones",IND,"QB26","13","4 out of 5","4 out of 5","4 out of 5 stars","+15"
"162",10,"Travis Hunter",JAC,"WR61","7","3 out of 5","4 out of 5","4 out of 5 stars","+61"
"163",10,"Dalton Schultz",HOU,"TE20","8","4 out of 5","2 out of 5","4 out of 5 stars","+20"
"164",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-25"
"165",10,"Tank Bigsby",PHI,"RB53","10","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"166",10,"Ryan Flournoy",DAL,"WR62","14","4 out of 5","2 out of 5","2 out of 5 stars","+83"
"167",11,"Denzel Boston",CLE,"WR63","11","4 out of 5","4 out of 5","3 out of 5 stars","-3"
"168",11,"Tre' Harris",LAC,"WR64","7","4 out of 5","2 out of 5","2 out of 5 stars","+68"
"169",11,"Adonai Mitchell",NYJ,"WR65","13","4 out of 5","4 out of 5","4 out of 5 stars","+75"
"170",11,"Brian Robinson Jr.",ATL,"RB54","11","2 out of 5","4 out of 5","2 out of 5 stars","-8"
"171",11,"Minnesota Vikings",MIN,"DST6","6","-","-","1 out of 5 stars","-14"
"172",11,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-20"
"173",11,"Jonah Coleman",DEN,"RB55","10","4 out of 5","4 out of 5","2 out of 5 stars","-5"
"174",11,"Oronde Gadsden II",LAC,"TE21","7","3 out of 5","4 out of 5","4 out of 5 stars","+24"
"175",11,"Pat Bryant",DEN,"WR66","10","4 out of 5","4 out of 5","2 out of 5 stars","+80"
"176",11,"Jacksonville Jaguars",JAC,"DST8","7","-","-","3 out of 5 stars","-4"
"177",11,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-80"
"178",11,"T.J. Hockenson",MIN,"TE22","6","3 out of 5","4 out of 5","4 out of 5 stars","-17"
"179",11,"Jaylin Noel",HOU,"WR67","8","4 out of 5","4 out of 5","3 out of 5 stars","+74"
"180",11,"Kayshon Boutte",HOU,"WR68","8","3 out of 5","4 out of 5","3 out of 5 stars","+61"
"181",11,"Pittsburgh Steelers",PIT,"DST9","9","-","-","5 out of 5 stars","-30"
"182",11,"Kimani Vidal",LAC,"RB56","7","1 out of 5","4 out of 5","3 out of 5 stars","+65"
"183",11,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-12"
"184",11,"Jalen McMillan",TB,"WR69","10","4 out of 5","3 out of 5","4 out of 5 stars","+22"
"185",11,"Troy Franklin",DEN,"WR70","10","1 out of 5","4 out of 5","2 out of 5 stars","+100"
"186",11,"Ka'imi Fairbairn",HOU,"K2","8","5 out of 5","1 out of 5","2 out of 5 stars","-52"
"187",11,"Malik Washington",MIA,"WR71","6","3 out of 5","4 out of 5","3 out of 5 stars","+43"
"188",11,"Cameron Dicker",LAC,"K3","7","5 out of 5","1 out of 5","2 out of 5 stars","-57"
"189",11,"Omar Cooper Jr.",NYJ,"WR72","13","4 out of 5","4 out of 5","4 out of 5 stars","+40"
"190",11,"Sean Tucker",TB,"RB57","10","4 out of 5","4 out of 5","2 out of 5 stars","+58"
"191",11,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-43"
"192",11,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+46"
"193",11,"Dontayvion Wicks",PHI,"WR73","10","4 out of 5","4 out of 5","4 out of 5 stars","+77"
"194",11,"Jalen Nailor",LV,"WR74","13","-","-","2 out of 5 stars","+5"
"195",11,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-63"
"196",11,"Green Bay Packers",GB,"DST11","11","-","-","2 out of 5 stars","-10"
"197",11,"MarShawn Lloyd",GB,"RB59","11","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"198",11,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-20"
"199",11,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","4 out of 5","2 out of 5 stars","+53"
"200",11,"Baltimore Ravens",BAL,"DST12","13","-","-","5 out of 5 stars","-42"
"201",11,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-26"
"202",11,"Tank Dell",HOU,"WR75","8","4 out of 5","4 out of 5","3 out of 5 stars","-33"
"203",11,"James Conner",ARI,"RB60","14","3 out of 5","4 out of 5","2 out of 5 stars","+10"
"204",11,"Kansas City Chiefs",KC,"DST13","5","-","-","3 out of 5 stars","-12"
"205",11,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","-16"
"206",11,"Darnell Mooney",NYG,"WR76","8","3 out of 5","4 out of 5","4 out of 5 stars","+59"
"207",11,"Evan McPherson",CIN,"K8","6","4 out of 5","2 out of 5","2 out of 5 stars","-14"
"208",12,"Emanuel Wilson",SEA,"RB61","11","3 out of 5","4 out of 5","4 out of 5 stars","+56"
"209",12,"Cairo Santos",CHI,"K9","10","3 out of 5","3 out of 5","0 out of 5 stars","-12"
"210",12,"Chase McLaughlin",TB,"K10","10","4 out of 5","2 out of 5","3 out of 5 stars","-7"
"211",12,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-29"
"212",12,"Isaac TeSlaa",DET,"WR77","6","3 out of 5","4 out of 5","4 out of 5 stars","+31"
"213",12,"Cleveland Browns",CLE,"DST15","11","-","-","5 out of 5 stars","-9"
"214",12,"Mike Washington Jr.",LV,"RB62","13","3 out of 5","4 out of 5","2 out of 5 stars","-59"
"215",12,"Keenan Allen",IND,"WR78","13","3 out of 5","3 out of 5","4 out of 5 stars","-42"
"216",12,"Andy Borregales",NE,"K11","11","-","-","1 out of 5 stars","+19"
"217",12,"Chimere Dike",TEN,"WR79","9","1 out of 5","5 out of 5","3 out of 5 stars","+114"
"218",12,"Jaylen Wright",MIA,"RB63","6","-","-","3 out of 5 stars","+43"
"219",12,"Harrison Mevis",LAR,"K12","11","4 out of 5","2 out of 5","2 out of 5 stars","-56"
"220",12,"Buffalo Bills",BUF,"DST16","7","-","-","3 out of 5 stars","-26"
"221",12,"Elic Ayomanor",TEN,"WR80","9","1 out of 5","5 out of 5","3 out of 5 stars","+89"
"222",12,"Calvin Ridley",TEN,"WR81","9","2 out of 5","4 out of 5","3 out of 5 stars","-32"
"223",12,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+156"
"224",12,"Terrance Ferguson",LAR,"TE24","11","4 out of 5","4 out of 5","4 out of 5 stars","-17"
"225",12,"Gunnar Helm",TEN,"TE25","9","3 out of 5","3 out of 5","3 out of 5 stars","+57"
"226",12,"Keon Coleman",BUF,"WR82","7","2 out of 5","4 out of 5","4 out of 5 stars","+33"
"227",12,"Rashod Bateman",BAL,"WR83","13","3 out of 5","4 out of 5","4 out of 5 stars","+56"
"228",12,"Jake Bates",DET,"K13","6","4 out of 5","2 out of 5","5 out of 5 stars","-62"
"229",12,"Aaron Rodgers",PIT,"QB29","9","1 out of 5","4 out of 5","2 out of 5 stars","-10"
"230",12,"Cooper Kupp",SEA,"WR84","11","3 out of 5","4 out of 5","3 out of 5 stars","-35"
"231",12,"Emmett Johnson",KC,"RB64","5","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"232",12,"Kenyon Sadiq",NYJ,"TE26","13","3 out of 5","4 out of 5","4 out of 5 stars","-67"
"233",12,"Nicholas Singleton",TEN,"RB65","9","3 out of 5","4 out of 5","3 out of 5 stars","+9"
"234",12,"Isaiah Davis",NYJ,"RB66","13","2 out of 5","4 out of 5","3 out of 5 stars","+310"
"235",12,"Justice Hill",BAL,"RB67","13","-","-","3 out of 5 stars","-4"
"236",12,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","4 out of 5","2 out of 5 stars","-15"
"237",12,"George Holani",SEA,"RB68","11","3 out of 5","4 out of 5","4 out of 5 stars","+40"
"238",12,"Jaydon Blue",DAL,"RB69","14","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"239",12,"Ollie Gordon II",MIA,"RB70","6","3 out of 5","4 out of 5","3 out of 5 stars","+66"
"240",12,"Xavier Legette",CAR,"WR85","5","2 out of 5","4 out of 5","2 out of 5 stars","+199"
"241",12,"Jack Bech",LV,"WR86","13","3 out of 5","4 out of 5","2 out of 5 stars","+56"
"242",12,"Zachariah Branch",ATL,"WR87","11","3 out of 5","4 out of 5","3 out of 5 stars","-9"
"243",12,"Marvin Mims Jr.",DEN,"WR88","10","3 out of 5","4 out of 5","2 out of 5 stars","+52"
"244",12,"Chris Boswell",PIT,"K14","9","4 out of 5","1 out of 5","4 out of 5 stars","-35"
"245",12,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","-21"
"246",12,"Cyrus Allen",KC,"WR89","5","4 out of 5","4 out of 5","2 out of 5 stars","-44"
"247",12,"Trey Benson",FA,"RB71","-","2 out of 5","4 out of 5","-","+71"
"248",12,"David Njoku",LAC,"TE29","7","4 out of 5","4 out of 5","4 out of 5 stars","-38"
"249",12,"Ty Johnson",BUF,"RB72","7","-","-","2 out of 5 stars","+73"
"250",13,"Najee Harris",NYG,"RB73","8","2 out of 5","4 out of 5","4 out of 5 stars","+10"
"251",13,"Harrison Butker",KC,"K15","5","-","-","5 out of 5 stars","-67"
"252",13,"Devin Neal",NO,"RB74","8","2 out of 5","4 out of 5","3 out of 5 stars","+89"
"253",13,"LeQuint Allen Jr.",JAC,"RB75","7","2 out of 5","4 out of 5","4 out of 5 stars","+147"
"254",13,"Darius Slayton",NYG,"WR90","8","2 out of 5","4 out of 5","4 out of 5 stars","+180"
"255",13,"Tory Horton",SEA,"WR91","11","4 out of 5","4 out of 5","3 out of 5 stars","+44"
"256",13,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-44"
"257",13,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+99"
"258",13,"Tyquan Thornton",KC,"WR92","5","2 out of 5","5 out of 5","2 out of 5 stars","+164"
"259",13,"Mack Hollins",NE,"WR93","11","-","-","2 out of 5 stars","+111"
